date;tavg;tmin;tmax;prcp;snow;wdir;wspd;wpgt;pres;tsun
01/01/2021;24.7;;;;;;;;;
02/01/2021;24.4;14;29;0;;201;13.8;;1014.8;
03/01/2021;24.9;16;31;0;;114;16.3;;1013.1;
04/01/2021;26.1;18;32;0;;102;15.3;;1010.3;
05/01/2021;25.8;21;30;1.6;;83;9.9;;1009.1;
06/01/2021;25.7;21;32;11.9;;94;10.7;;1008.1;
07/01/2021;28.7;21.5;34;3;;309;13;;1008;
08/01/2021;28.9;20;34;0;;256;12.1;;1010.2;
09/01/2021;28.6;17;35.5;0;;88;11.2;;1010;
10/01/2021;29.9;24;35;0.3;;71;11.6;;1009.9;
11/01/2021;31.1;23;38;0;;73;14.1;;1007.8;
12/01/2021;26.1;22.6;28;11.9;;205;14.6;;1012.2;
13/01/2021;23.8;20.7;26.6;0.5;;127;17.8;;1018.3;
14/01/2021;24.1;17;28;0;;104;20.2;;1018.1;
15/01/2021;26.6;19;32.2;0.1;;101;17.8;;1011.5;
16/01/2021;25.2;20;34;1.1;;48;10.7;;1005.3;
17/01/2021;24.9;20;30;20.5;;298;10.8;;1004.5;
18/01/2021;24.1;19;28;4.1;;163;12.6;;1012.7;
19/01/2021;23.9;15;29;0;;110;14;;1016.8;
20/01/2021;23.3;19;26.5;0;;105;19.3;;1016.8;
21/01/2021;24.3;20.2;28;0;;103;22.5;;1018.1;
22/01/2021;25.9;21;30.1;0.3;;105;20.3;;1019;
23/01/2021;26.4;20;32;0.1;;108;12.7;;1015.7;
24/01/2021;26.1;20;33;2.2;;53;8.6;;1011.7;
25/01/2021;26.5;19;32;15;;50;7.4;;1008.6;
26/01/2021;26.1;20;34;0;;354;9.3;;1006.9;
27/01/2021;25.6;22;30;18;;311;10.8;;1004.4;
28/01/2021;23.8;22;26.7;24.9;;43;9.9;;1007.3;
29/01/2021;26.6;21;31.1;7.1;;328;9.1;;1005.4;
30/01/2021;27.8;22;32.2;0;;303;8.4;;1007.8;
31/01/2021;26.1;21;29;6.1;;283;10;;1008.6;
01/02/2021;27.3;21;31.2;0;;261;7.2;;1009.1;
02/02/2021;28.1;23;34;0.3;;42;8;;1010.2;
03/02/2021;25.6;22.8;30;6.1;;42;6.7;;1010.3;
04/02/2021;23.5;20.7;27;18;;279;22;;1007.4;
05/02/2021;22.1;18;26;0.8;;250;17.5;;1009.3;
06/02/2021;22.9;16;28;0;;253;9.2;;1012.2;
07/02/2021;23.9;17;29;0.2;;206;9.8;;1014.2;
08/02/2021;24;16;29.7;0;;103;12.6;;1014.4;
09/02/2021;25.1;19;31.5;1;;89;11.2;;1014.1;
10/02/2021;21.4;18;31;0;;93;15.3;;1014.4;
11/02/2021;24.6;20;31;0;;98;13.7;;1013.3;
12/02/2021;24.3;21;29;1.7;;99;8.8;;1012.4;
13/02/2021;27.3;19;31.1;3;;333;8.4;;1010.1;
14/02/2021;24.4;21;29;0;;312;8.9;;1007.4;
15/02/2021;24.8;20;30;3.2;;284;9.4;;1006.6;
16/02/2021;24.8;20;29.5;1;;292;15.7;;1005.9;
17/02/2021;24.5;17;28.2;0;;283;13.5;;1006.3;
18/02/2021;24.6;19;28;1.3;;287;14.5;;1007.6;
19/02/2021;21.2;19;30;0.1;;294;10;;1010.6;
20/02/2021;23.7;18;30;0;;114;9.3;;1014.2;
21/02/2021;28.1;18;32;0;;102;13.1;;1014.6;
22/02/2021;27.9;19;35;0;;34;7.7;;1011.2;
23/02/2021;26.4;22;29.5;2;;237;6.2;;1011.1;
24/02/2021;25.5;20;30;0;;131;11.3;;1014.2;
25/02/2021;24.9;18;30.5;0;;114;14.4;;1014.1;
26/02/2021;25.1;17;30;0;;106;17.9;;1015.2;
27/02/2021;25.3;19;30;0;;109;21;;1018.4;
28/02/2021;24.6;19;29;1;;109;22.7;;1017.2;
01/03/2021;25.4;21;31;7.8;;107;16.6;;1012.6;
02/03/2021;27.1;20;32.2;2;;106;12.5;;1011.4;
03/03/2021;27.3;21;33;0.3;;151;8.3;;1012.5;
04/03/2021;24.9;21;28;15.5;;122;6.8;;1009.3;
05/03/2021;22.8;20.8;26.2;11.9;;262;11.2;;1005.7;
06/03/2021;23.1;19.7;27;13;;217;9.6;;1009.9;
07/03/2021;22.9;14;29;0;;114;8.4;;1012.3;
08/03/2021;24.9;18.6;31;0;;71;7.9;;1011.5;
09/03/2021;23.6;19.2;28;9.9;;145;10.3;;1012.5;
10/03/2021;23.7;18;28;0.5;;225;9;;1011.6;
11/03/2021;22.9;17;29.2;0;;250;7.6;;1011.5;
12/03/2021;23.8;17;29.6;0;;110;7.3;;1013.6;
13/03/2021;24.8;15;31.5;0;;114;8.6;;1013.9;
14/03/2021;25.4;19.6;31;0;;123;10.2;;1014.7;
